priority,site,submission_url,cost,time_est,notes
1,Product Hunt,https://www.producthunt.com/posts/new,Free,2-3 hrs prep,"Plan launch for Tues/Wed. Build hunter network first. Schedule 12:01am PT launch. Reply to every comment first 8 hrs."
1,Hacker News Show HN,https://news.ycombinator.com/submit,Free,30 min,"Post Tue-Thu 9-11am ET. Use show-hn.md draft. Reply to every comment."
1,AlternativeTo,https://alternativeto.net/software/submit/,Free,20 min,"List as alternative to Rocket Money, Bobby, Truebill, Subby, Hiatus. High SEO value."
1,OpenAlternative,https://openalternative.co/submit,Free,15 min,"Positions as open-source-friendly alternative to Rocket Money. Fits pitch perfectly."
1,IndieHackers Products,https://www.indiehackers.com/products/new,Free,15 min,"Claim product page. Post milestones for recurring visibility."
1,SaaSHub,https://www.saashub.com/submit-software,Free,15 min,"Solid SEO backlink. Needs logo + screenshots."
1,Peerlist,https://peerlist.io/projects,Free,15 min,"Growing dev community. Active daily launches."
2,Fazier,https://fazier.com/new_product,Free,10 min,"Daily launch platform. Good for week-2 launch."
2,MicroLaunch,https://microlaunch.net/submit,Free,10 min,"Active micro-launch community."
2,Tiny Launch,https://tinylaunch.com/submit,Free,10 min,"Low traffic but free backlink."
2,Uneed,https://www.uneed.best/submit-a-tool,Free or Paid,10 min,"Free tier has delay. Paid is fast-track."
2,Startup Stash,https://startupstash.com/submit-resource/,Free,10 min,"Resource directory. Good backlink."
2,BetaList,https://betalist.com/submit,Free,20 min,"Only if positioning as early beta. Has waitlist mechanic."
2,BetaPage,https://betapage.co/submit-startup/,Free,10 min,"Similar to BetaList, less active."
2,Launching Next,https://www.launchingnext.com/submit/,Free or Paid,10 min,"Free listing has backlog. $25 expedites."
2,F6S,https://www.f6s.com/startup/new,Free,15 min,"Startup database with accelerator connections."
2,StackShare,https://stackshare.io/application/register,Free,15 min,"Tech stack directory. Good dev SEO."
3,StartupBase,https://startupbase.io/submit,Free,10 min,"Generic SaaS directory."
3,Startup Buffer,https://startupbuffer.com/submit,Free,10 min,"Generic SaaS directory."
3,Crozdesk,https://www.crozdesk.com/list,Free,15 min,"Software marketplace. Needs detailed listing."
3,SourceForge,https://sourceforge.net/software/vendors/new/,Free,15 min,"Surprising SEO juice for non-OSS too."
3,Capterra,https://www.capterra.com/vendors/sign-up,Free,30 min,"Needs review bootstrap but high-intent traffic."
3,GetApp,https://www.getapp.com/vendor-list,Free,30 min,"Gartner-owned. Same form as Capterra."
3,SideProjectors,https://www.sideprojectors.com/project/new,Free,10 min,"For side projects. Low traffic but niche fit."
3,NoCodeList,https://nocodelist.co/submit,Free,10 min,"If you pitch as no-code-friendly tool."
3,Pitchwall,https://pitchwall.co/submit,Free,10 min,"Launch platform with voting."
3,Product Disrupt,https://www.productdisrupt.com/submit,Free,10 min,"Design-focused product gallery."
3,Slashdot,https://slashdot.org/software/,Free,20 min,"Legacy tech directory. Some SEO."
3,G2,https://www.g2.com/products/new,Free,30 min,"Needs reviews to rank. Start collecting early."
3,TAAFT (There's An AI For That),https://theresanaiforthat.com/submit/,Free,10 min,"Skip unless you add an AI audit feature."
